State,City,,Population1,"Violent 
crime",Murder,Rape2,Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",Arson3
,SIMI VALLEY,2018,"127,222 ",110 ,0 ,25 ,31 ,54 ,802 ,112 ,618 ,72 ,0 
,,2019,,72 ,0 ,7 ,20 ,45 ,586 ,106 ,448 ,32 ,4 
,STOCKTON,2018,"313,158 ","2,045 ",15 ,93 ,559 ,"1,378 ","5,624 ","1,158 ","3,435 ","1,031 ",82 
,,2019,,"2,244 ",23 ,104 ,531 ,"1,586 ","6,278 ","1,124 ","4,256 ",898 ,83 
,SUNNYVALE,2018,"155,637 ",116 ,0 ,23 ,37 ,56 ,"1,265 ",201 ,862 ,202 ,1 
,,2019,,127 ,0 ,18 ,40 ,69 ,"1,646 ",250 ,"1,209 ",187 ,6 
,TEMECULA,2018,"116,411 ",65 ,0 ,0 ,29 ,36 ,"1,334 ",213 ,973 ,148 ,0 
,,2019,,87 ,0 ,2 ,44 ,41 ,"1,376 ",171 ,"1,044 ",161 ,3 
,THOUSAND OAKS,2018,"129,319 ",51 ,2 ,13 ,13 ,23 ,707 ,104 ,545 ,58 ,2 
,,2019,,41 ,0 ,13 ,11 ,17 ,747 ,135 ,572 ,40 ,1 
,TORRANCE,2018,"146,968 ",124 ,1 ,11 ,55 ,57 ,"1,362 ",238 ,984 ,140 ,7 
,,2019,,151 ,3 ,16 ,67 ,65 ,"1,411 ",185 ,"1,101 ",125 ,4 
,VACAVILLE,2018,"101,146 ",131 ,0 ,10 ,38 ,83 ,"1,093 ",102 ,898 ,93 ,5 
,,2019,,157 ,2 ,20 ,40 ,95 ,"1,162 ",74 ,"1,003 ",85 ,7 
,VALLEJO,2018,"122,974 ",474 ,4 ,42 ,170 ,258 ,"2,024 ","1,069 ",490 ,465 ,20 
,,2019,,483 ,5 ,50 ,171 ,257 ,"2,182 ","1,246 ",563 ,373 ,28 
,VENTURA,2018,"111,272 ",223 ,1 ,31 ,48 ,143 ,"1,728 ",274 ,"1,302 ",152 ,26 
,,2019,,243 ,1 ,38 ,57 ,147 ,"1,538 ",177 ,"1,222 ",139 ,4 
,VISALIA,2018,"134,224 ",226 ,1 ,55 ,67 ,103 ,"2,067 ",376 ,"1,432 ",259 ,8 
,,2019,,259 ,1 ,53 ,83 ,122 ,"1,834 ",367 ,"1,201 ",266 ,9 
,VISTA,2018,"102,742 ",155 ,1 ,21 ,41 ,92 ,735 ,138 ,445 ,152 ,0 
,,2019,,191 ,1 ,21 ,48 ,121 ,672 ,127 ,443 ,102 ,3 
,WEST COVINA,2018,"107,806 ",128 ,0 ,7 ,72 ,49 ,"1,262 ",198 ,885 ,179 ,3 
,,2019,,139 ,2 ,12 ,66 ,59 ,"1,203 ",166 ,844 ,193 ,4 
COLORADO,ARVADA,2018,"120,631 ",127 ,0 ,30 ,16 ,81 ,"1,667 ",168 ,"1,255 ",244 ,10 
,,2019,,134 ,1 ,21 ,25 ,87 ,"1,870 ",175 ,"1,499 ",196 ,4 
,AURORA,2018,"372,824 ","1,295 ",10 ,200 ,294 ,791 ,"5,547 ",835 ,"3,605 ","1,107 ",30 
,,2019,,"1,290 ",12 ,216 ,290 ,772 ,"5,178 ",642 ,"3,408 ","1,128 ",44 
,BOULDER,2018,"108,380 ",127 ,0 ,19 ,12 ,96 ,"1,595 ",188 ,"1,289 ",118 ,12 
,,2019,,127 ,0 ,14 ,23 ,90 ,"1,497 ",169 ,"1,207 ",121 ,3 
,CENTENNIAL,2018,"111,646 ",97 ,1 ,21 ,8 ,67 ,962 ,122 ,751 ,89 ,5 
,,2019,,66 ,0 ,6 ,6 ,54 ,661 ,55 ,545 ,61 ,1 
,COLORADO SPRINGS,2018,"471,124 ","1,334 ",12 ,245 ,278 ,799 ,"7,661 ","1,408 ","5,116 ","1,137 ",74 
,,2019,,"1,249 ",10 ,192 ,193 ,854 ,"8,270 ","1,097 ","5,780 ","1,393 ",50 
,DENVER,2018,"720,745 ","2,537 ",34 ,374 ,575 ,"1,554 ","13,024 ","2,053 ","8,364 ","2,607 ",60 
,,2019,,"2,452 ",28 ,333 ,554 ,"1,537 ","12,732 ","1,717 ","8,436 ","2,579 ",50 
,FORT COLLINS,2018,"168,163 ",187 ,1 ,17 ,17 ,152 ,"1,868 ",197 ,"1,591 ",80 ,5 
,,2019,,160 ,1 ,17 ,17 ,125 ,"1,693 ",183 ,"1,414 ",96 ,5 
,GREELEY,2018,"107,325 ",210 ,1 ,44 ,30 ,135 ,"1,312 ",183 ,989 ,140 ,11 
,,2019,,190 ,1 ,34 ,36 ,119 ,"1,218 ",184 ,905 ,129 ,13 
,THORNTON,2018,"139,697 ",192 ,1 ,64 ,45 ,82 ,"2,279 ",234 ,"1,660 ",385 ,13 
,,2019,,172 ,0 ,49 ,30 ,93 ,"2,253 ",176 ,"1,546 ",531 ,8 
,WESTMINSTER,2018,"113,751 ",174 ,7 ,30 ,41 ,96 ,"1,760 ",152 ,"1,293 ",315 ,15 
,,2019,,134 ,1 ,24 ,36 ,73 ,"1,683 ",193 ,"1,202 ",288 ,2 
CONNECTICUT,BRIDGEPORT,2018,"146,819 ",474 ,5 ,34 ,146 ,289 ,"1,495 ",253 ,933 ,309 ,9 
,,2019,,400 ,9 ,40 ,155 ,196 ,"1,129 ",274 ,605 ,250 ,9 
,HARTFORD,2018,"123,117 ",681 ,13 ,24 ,179 ,465 ,"2,311 ",332 ,"1,572 ",407 ,38 
,,2019,,505 ,11 ,12 ,105 ,377 ,"1,644 ",181 ,"1,238 ",225 ,24 
,STAMFORD,2018,"132,007 ",107 ,2 ,13 ,26 ,66 ,"1,097 ",114 ,854 ,129 ,3 
