"State","Year","Population","Violent Crime","Murder","Rape","Robbery","Aggravated Assault","Property Crime","Burglary","Larceny Theft","Motor Vehicle Theft","Arson"
"PENNSYLVANIA",2016,"3382882","15262","256","1314","6036","7656","48990","7188","36304","5498","416"
"SOUTH CAROLINA",2016,"760264","2386","52","226","656","1452","16320","2278","12378","1664","34"
"SOUTH DAKOTA",2016,"350304","914","8","130","114","662","5360","826","3914","620","48"
"TENNESSEE",2016,"3943518","23808","320","1392","5736","16360","84972","17862","60890","6220","492"
"UTAH",2016,"890142","2832","16","420","754","1642","26440","3020","19860","3560","48"
"VIRGINIA",2016,"2505002","4238","122","476","1310","2330","34002","3982","27868","2152","174"
"WASHINGTON",2016,"3133754","8180","42","742","2736","4660","81584","14884","55306","11394","336"
"WISCONSIN",2016,"1915562","10290","124","712","3360","6094","31546","6004","19198","6344","264"
"ALABAMA",2017,"921218","5540","128","298","1418","3696","25930","5604","17518","2808","296"
"ALASKA",2017,"592376","3596","26","574","738","2258","15416","2178","10360","2878","62"
"ARIZONA",2017,"5008938","10140","100","1360","2960","5720","77168","11630","59540","5998","302"
"ARKANSAS",2017,"398628","3518","50","204","516","2748","13970","2520","10232","1218","56"
"CALIFORNIA",2017,"39799296","102152","1110","8470","36580","55992","546418","89950","356728","99740","4380"
"COLORADO",2017,"4317148","11598","142","1908","2622","6926","68436","10888","46512","11036","432"
"CONNECTICUT",2017,"1014228","3192","58","186","1240","1708","13612","2036","9230","2346","110"
"FLORIDA",2017,"9554822","25194","376","2020","6820","15978","159120","24362","120026","14732","550"
"GEORGIA",2017,"2061712","6808","138","464","2170","4036","39698","6856","28146","4696","146"
"HAWAII",2017,"1980768","2412","30","314","886","1182","26512","3136","20074","3302","340"
"IDAHO",2017,"451354","640","4","142","64","430","5108","728","4084","296","36"
"ILLINOIS",2017,"7386616","33996","724","2204","12028","19040","105468","17244","75674","12550","778"
"INDIANA",2017,"2716550","14574","172","898","4284","9220","55838","11834","37758","6246","360"
"IOWA",2017,"469882","1140","14","140","286","700","9530","1806","6892","832","42"
"KANSAS",2017,"1692688","5216","74","658","944","3540","32680","4634","24534","3512","100"
"KENTUCKY",2017,"644664","1106","18","200","562","326","11900","2238","8404","1258","44"
"LOUISIANA",2017,"1100062","5010","142","258","1586","3024","29128","5982","20970","2176","254"
"MARYLAND",2017,"1226434","12190","340","352","5560","5938","28924","7616","16066","5242","298"
"MASSACHUSETTS",2017,"1125340","3182","24","158","824","2176","12290","2696","8232","1362","66"
"MICHIGAN",2017,"2952152","17518","322","1170","3340","12686","44582","11096","23208","10278","1002"
"MINNESOTA",2017,"1681790","6714","64","798","2468","3384","30980","6066","20714","4200","246"
"MISSOURI",2017,"2407052","17856","354","1218","4010","12274","62638","10764","42060","9814","486"
"MONTANA",2017,"222634","552","2","90","44","416","5702","682","4224","796","18"
"NEVADA",2017,"4835194","14356","192","1592","4400","8172","64124","17270","35708","11146","146"
"NEW HAMPSHIRE",2017,"221310","696","2","88","166","440","2862","436","2232","194","24"
"NEW JERSEY",2017,"1737352","4654","98","194","2066","2296","17122","3500","9772","3850","98"
"NEW YORK",2017,"1861066","6154","98","422","2086","3548","24324","4680","17786","1858","366"
"NORTH DAKOTA",2017,"246860","418","4","94","58","262","3646","440","2938","268","10"
"OHIO",2017,"4342742","17514","412","2408","6622","8072","90076","23186","56346","10544","492"
"OKLAHOMA",2017,"2572050","9496","148","986","2058","6304","51882","12334","32786","6762","236"
"OREGON",2017,"2414364","5086","36","728","1456","2866","56508","7280","39140","10088","396"
"PENNSYLVANIA",2017,"3392836","15304","322","1246","6020","7716","48550","6832","36470","5248","436"
"RHODE ISLAND",2017,"359708","884","8","114","256","506","5372","896","3920","556","18"
"SOUTH CAROLINA",2017,"273690","368","2","62","92","212","2942","422","2302","218","20"
"SOUTH DAKOTA",2017,"355776","770","6","124","84","556","4706","670","3578","458","48"
"TENNESSEE",2017,"3979278","26056","372","1520","6150","18014","91316","17376","64916","9024","492"
"TEXAS",2017,"24152926","77148","836","7690","23430","45192","407804","69368","295796","42640","1968"
"UTAH",2017,"896240","2848","16","524","766","1542","25452","3076","18830","3546","44"
"VIRGINIA",2017,"2759366","4468","106","506","1240","2616","34056","4010","27896","2150","138"
"WASHINGTON",2017,"3628044","9600","60","1040","2758","5742","91970","15800","64494","11676","360"
"WISCONSIN",2017,"722362","1376","14","156","270","936","8326","1144","6804","378","24"
"ARIZONA",2018,"8397770","22104","254","2654","5492","13704","132604","20940","97678","13986","606"
"ARKANSAS",2018,"398576","2672","38","242","300","2092","12472","2136","9286","1050","48"
"CALIFORNIA",2018,"38803846","99200","940","8828","34656","54776","506998","81604","337336","88058","4656"
"COLORADO",2018,"4868572","12560","134","2088","2632","7706","75350","11080","51826","12444","470"
"CONNECTICUT",2018,"1020642","3006","46","206","896","1858","13960","1960","9504","2496","112"
"FLORIDA",2018,"9887160","23690","386","2226","6070","15008","147340","19992","113834","13514","350"
"GEORGIA",2018,"1694050","4934","112","378","1404","3040","29522","4178","21332","4012","106"
"HAWAII",2018,"1964038","2506","20","402","828","1256","29044","3344","21040","4660","294"
"IDAHO",2018,"666078","810","2","244","56","508","5654","670","4694","290","50"
"ILLINOIS",2018,"7111088","31028","586","2188","10162","18092","101120","15116","75010","10994","596"
"INDIANA",2018,"977592","2596","70","292","732","1502","15554","2568","11644","1342","96"
"KANSAS",2018,"783452","4722","48","402","548","3724","21420","3346","15298","2776","154"
"KENTUCKY",2018,"651158","1008","34","236","458","280","10398","1496","7852","1050","46"
"LOUISIANA",2018,"1086380","4378","128","256","1180","2814","27664","5748","19676","2240","278"
"MARYLAND",2018,"1210872","10286","266","376","4636","5008","24682","5658","14986","4038","162"
"MASSACHUSETTS",2018,"1136474","3430","28","208","960","2234","11146","2358","7810","978","64"
"MICHIGAN",2018,"2561440","15400","266","1436","2586","11112","37974","8676","21698","7600","908"
"MINNESOTA",2018,"1710108","5530","44","830","1704","2952","26834","4528","17588","4718","188"
"MISSOURI",2018,"1432732","8328","202","770","1752","5604","37316","5550","26460","5306","254"
"MONTANA",2018,"220794","546","2","58","106","380","5370","668","3924","778","18"
"NEBRASKA",2018,"577178","1020","4","284","134","598","7768","1178","6236","354","38"
"NEVADA",2018,"5111244","15096","176","1986","3712","9222","67442","16290","39758","11394","166"
"NEW HAMPSHIRE",2018,"222844","644","0","70","130","444","2600","310","2134","156","20"
"NEW JERSEY",2018,"2267028","5174","102","334","1904","2834","20938","3726","12856","4356","104"
"NEW MEXICO",2018,"1324876","8198","86","532","2138","5442","39536","6988","25004","7544","120"
"NEW YORK",2018,"1866438","5784","106","458","1790","3430","22284","4236","16038","2010","256"
